candid,candidatename,contactdetailname,contactdetailmobilephone,contactdetailemail,party_partycode
1,Darcee Stapele,Roxine Manis,1187348691,rmanis0@illinois.edu,AAFI
2,Dusty Greenstreet,Lynea Rushby,1662302115,lrushby1@amazon.co.jp,AAP
3,Gar Allatt,Lurline McGovern,2697060587,lmcgovern2@soup.io,AAHP
4,Kiley Geibel,Janella De Gregoli,4863084831,jde3@rakuten.co.jp,AAPP
5,Carlin Reinbeck,Porter Ogilvy,4852036589,pogilvy4@edublogs.org,ABF
6,Ailene McAughtrie,Saul Goare,1676314995,sgoare5@fotki.com,ABR
7,Rosella Ridolfo,Morten Bourner,6159427142,mbourner6@squarespace.com,ACH
8,Josselyn Phonix,Sayer Mea,3171854254,smea7@google.com.br,ACP
9,Horatia Mirando,Jaine Vallentin,1941320661,jvallentin8@tmall.com,ACS
10,Barnaby Stonhard,Valma Piatti,3798976032,vpiatti9@issuu.com,ADP
11,Yoko Apfel,Dru Bleything,2786400226,dbleythinga@themeforest.net,ADVP
12,Ede Penzer,Lemmy Blunsom,3249578106,lblunsomb@free.fr,AED
13,Sofia Claughton,Nerty Tween,3259851961,ntweenc@wix.com,AEQ
14,Daffy Bartel,Ania Flynn,5127011335,aflynnd@pen.io,AF
15,Mortimer Bickerdike,Carleen de la Valette Parisot,6275598728,cdee@delicious.com,AFI
16,Bendite Beech,Darn Guillain,4619760630,dguillainf@sciencedirect.com,AFLP
17,Archie Sporrij,Herb O'Scannill,9123321872,hoscannillg@blinklist.com,AFM
18,Melonie Lorant,Germain Rourke,8766588738,grourkeh@cisco.com,AFN
19,Tony Caudle,Wini Jenno,4282584985,wjennoi@hubpages.com,AGP
20,Eadie Eldritt,Selene Brimble,3657066383,sbrimblej@ameblo.jp,AIN
21,Tracie Fairhead,Hetty Sciacovelli,8651908579,hsciacovellik@sitemeter.com,AIP
22,Smith Trebilcock,Emmet Salerno,6974657526,esalernol@ycombinator.com,AJP
23,Corissa Brazur,Tan Slavin,1703867488,tslavinm@cam.ac.uk,ALA
24,Kennett Fyrth,Marilin Quantick,1398410658,mquantickn@prlog.org,ALP
25,Rhetta Prestie,Colan Brahm,8318391185,cbrahmo@t-online.de,AMHP
26,Alair Menghi,Kial Magnus,2681319078,kmagnusp@va.gov,AMEP
27,Tymon MacCostigan,Melli McKeefry,2146809231,mmckeefryq@webeden.co.uk,ANTI-COM LAB
28,Wyn Parlott,Eachelle Greste,1206473449,egrester@icio.us,ANTI-SOC
29,Dorian Pellett,Jaimie Dowda,3664435302,jdowdas@theguardian.com,AP
30,Natal Oxtiby,Mattie Dewing,9408598632,mdewingt@list-manage.com,APA
31,Dede Turland,Sindee Bollins,5572732953,sbollinsu@cnn.com,ARF
32,Elie Deeney,Jacintha Croal,5429350452,jcroalv@unicef.org,APEP
33,Basil Laughtisse,Tammy Crole,9376249471,tcrolew@google.ru,APP
34,Salome Batiste,Trudey Phillpot,7229752619,tphillpotx@clickbank.net,ARP
35,Tiffanie Cowlas,Daffy Wiggam,5207684031,dwiggamy@cocolog-nifty.com,ARTS
36,Dorine Deare,Nikolos Poulsom,9059834487,npoulsomz@canalblog.com,ASG
37,Lara Potteridge,Delainey Springford,1396095587,dspringford10@nhs.uk,ASP
38,Edee Prujean,Bennie Barthot,2662943910,bbarthot11@unicef.org,ASXP
39,Calla Ruberry,Mathias Bewick,8509600886,mbewick12@weibo.com,AUC
40,Emalee April,Tan Ogilby,7166458780,togilby13@cdc.gov,AUP
41,Jessie Trematick,Charmain Nolda,1059183526,cnolda14@umich.edu,AWP
42,Nev Thirtle,Ellynn Dinnage,2436206964,edinnage15@economist.com,BAP
43,Sigismondo Olliff,Wilie Lille,5103525001,wlille16@deliciousdays.com,BRP
44,Cristin Heasman,Errick Peeke-Vout,6846269159,epeekevout17@comcast.net,BTA
45,Donal Terram,Nollie Slaney,4158950723,nslaney18@slashdot.org,C PROG
46,Julietta Nanetti,Dennison Lared,7933292242,dlared19@telegraph.co.uk,CA
47,Eveline Windaybank,Dud Iacabucci,7672669304,diacabucci1a@jigsy.com,CAL
48,Scarlett Pinar,Marybeth Lorenzetti,2656830156,mlorenzetti1b@squidoo.com,CAP
49,Grata Landre,Marchelle Lawles,7814996257,mlawles1c@facebook.com,CCA
50,Coralie Bilton,Myca Robertucci,7162289167,mrobertucci1d@nps.gov,CCC
51,Rikki Conford,Laryssa Roe,7814487770,lroe1e@prweb.com,CCE
52,Nester Trusler,Geordie McCutheon,9481123324,gmccutheon1f@themeforest.net,CCG
53,Tania Sergent,Elicia Stiggers,3165686388,estiggers1g@indiegogo.com,CDP
54,Kellyann Ducarel,Katrinka Canavan,5048998210,kcanavan1h@homestead.com,CEC
55,Tom Tolmie,Kissiah Tamburo,9673196367,ktamburo1i@who.int,CEG
56,Brenden Hamlen,Bernice Santora,6962298699,bsantora1j@mysql.com,CG
57,Kristos Vamplew,Norbert Thoresbie,3792236979,nthoresbie1k@usatoday.com,CIR
58,Imojean Mote,Pedro Seeger,8056048593,pseeger1l@wufoo.com,CLA
59,Lexie Speir,Alta Kneller,7656620975,akneller1m@posterous.com,CLP
60,Marita Worsom,Hinze Trinbey,3678662875,htrinbey1n@accuweather.com,CLR
61,Cordelia Trengrove,Everard Szymanowski,5854860026,eszymanowski1o@hp.com,CM
62,Crissy Glendza,Smitty Tarrant,2444266147,starrant1p@chronoengine.com,CNP
63,Dallis Dansey,Stella Cassel,3985885972,scassel1q@drupal.org,COM
64,Margo De Ferrari,Josey Keming,1946189289,jkeming1r@aboutads.info,COK
65,Gal Jakovijevic,Ronnica Crimes,2697867695,rcrimes1s@nifty.com,CYA
66,Cash Valentin,Berk Regan,4734071289,bregan1t@msu.edu,CPA
67,Dick Beetham,Birgit Eckford,9594866504,beckford1u@prnewswire.com,CRNT
68,Andreana Clothier,Giustina Seeman,7958551376,gseeman1v@vkontakte.ru,CTA
69,Cross Claessens,Lorianne Clayfield,1536722706,lclayfield1w@about.com,CVP
70,Janela Garfirth,Kimmie Prettyman,2056316680,kprettyman1x@usgs.gov,CYC
71,Pauly Blasio,Barnabe Busse,4718093944,bbusse1y@yahoo.com,DEM
72,Shaylynn Ofer,Yvor Cradey,9257417255,ycradey1z@lycos.com,DEP
73,Dannie Coudray,Delmore Albertson,8602739263,dalbertson20@zdnet.com,DLP
74,Claudine Carragher,Calvin Farres,9921256923,cfarres21@biblegateway.com,DHJP
75,Lora Davall,Jerry Luisetti,6955975820,jluisetti22@imgur.com,DRF
76,Alley Riddler,Boonie Brikner,4717884170,bbrikner23@mashable.com,DSA
77,Chen Galletley,Lauryn Dallyn,1967372405,ldallyn24@dot.gov,DSL
78,Patrizius Behagg,Caritta Yashnov,2351184294,cyashnov25@usgs.gov,DSP
79,Philippe Bolsteridge,Alayne Broome,2293476604,abroome26@yahoo.com,EC
80,Hewe Matteini,Vinni Betancourt,8777069523,vbetancourt27@jiathis.com,EFF
81,Tiphany Nelsen,Blithe Spellward,5281794536,bspellward28@bluehost.com,EFN
82,Cornela Hendren,Yuri Joontjes,9763102954,yjoontjes29@marketwatch.com,EI
83,Clemmie Cuttell,Pepillo Wildor,8709096530,pwildor2a@wired.com,ESG
84,Justen Seebright,Ranee Kesley,4584185728,rkesley2b@discovery.com,FFP
85,Arley Peery,Ulrich Kuhnwald,8445297679,ukuhnwald2c@howstuffworks.com,FLP
86,Devinne MacCrann,Trudie Handrick,3739920870,thandrick2d@fc2.com,FLR
87,Stace Reditt,Malchy Myles,9203207451,mmyles2e@jugem.jp,FLUX
88,Ramon Figliovanni,Ferd Macbeth,6357802674,fmacbeth2f@indiegogo.com,FNPP
89,Farly Vasenkov,Berenice Darmody,9215374516,bdarmody2g@sciencedaily.com,FPA
90,Sterling Staten,Rochella Phythean,3719735361,rphythean2h@feedburner.com,FPY
91,Archie Bee,Brander Clardge,2303172821,bclardge2i@cornell.edu,FST
92,Fields Mafham,Price Chaloner,5599581810,pchaloner2j@alibaba.com,FT
93,Lusa Giddy,Deonne Coggon,3475646957,dcoggon2k@illinois.edu,FUT
